"Title:","'ge-22/0/4-Alamosa Zayo Fiber(1Gb) ETYX/123244//ZYO'"
"Vertical Label:","'bits per second'"
"Start Date:","2018-02-26 12:01:00"
"End Date:","2018-02-27 12:00:00"
"Step:","60"
"Total Rows:","1440"
"Graph ID:","2160"
"Host ID:","26"
""
"Date","In","Out"
"2018-02-27 08:00:00","3.2597724828e+07","2.6286686539e+08"
"2018-02-27 08:01:00","3.5035813333e+07","3.0697219848e+08"
"2018-02-27 08:02:00","3.3297586716e+07","2.9589448239e+08"
"2018-02-27 08:03:00","3.5344025764e+07","2.8400080403e+08"
"2018-02-27 08:04:00","3.5275841680e+07","3.0322920021e+08"
"2018-02-27 08:05:00","3.5884149204e+07","3.1822872970e+08"
"2018-02-27 08:06:00","3.4827991958e+07","3.1365366807e+08"
"2018-02-27 08:07:00","3.4717638291e+07","3.0918029745e+08"
"2018-02-27 08:08:00","3.3629579494e+07","2.8176291418e+08"
"2018-02-27 08:09:00","3.6377009224e+07","2.8547499392e+08"
"2018-02-27 08:10:00","3.5181213302e+07","3.1185587338e+08"
"2018-02-27 08:11:00","3.5764004464e+07","3.0724368361e+08"
"2018-02-27 08:12:00","3.6466012318e+07","3.0269170562e+08"
"2018-02-27 08:13:00","3.6858574259e+07","3.1510501057e+08"
"2018-02-27 08:14:00","4.0036118172e+07","3.2241016441e+08"
"2018-02-27 08:15:00","3.9664524582e+07","3.1942814424e+08"
"2018-02-27 08:16:00","3.7090326060e+07","2.9286257758e+08"
"2018-02-27 08:17:00","3.8634308182e+07","2.8500843981e+08"
"2018-02-27 08:18:00","3.9246041942e+07","2.7992295021e+08"
"2018-02-27 08:19:00","4.4240203946e+07","2.8494554219e+08"
"2018-02-27 08:20:00","4.1539410121e+07","2.8350043815e+08"
"2018-02-27 08:21:00","3.7682438183e+07","2.9143340384e+08"
"2018-02-27 08:22:00","3.8951651921e+07","2.8028000656e+08"
"2018-02-27 08:23:00","3.8725395064e+07","2.8684009282e+08"
"2018-02-27 08:24:00","4.0889736218e+07","3.0399982440e+08"
"2018-02-27 08:25:00","3.9185224878e+07","2.9019570391e+08"
"2018-02-27 08:26:00","3.9449391160e+07","2.8127617557e+08"
"2018-02-27 08:27:00","3.6035951860e+07","2.9963260951e+08"
"2018-02-27 08:28:00","3.8318648289e+07","2.8695057902e+08"
"2018-02-27 08:29:00","3.5536459860e+07","2.9157359700e+08"
"2018-02-27 08:30:00","3.5924018671e+07","2.9315937539e+08"
"2018-02-27 08:31:00","3.6878639260e+07","2.7800196465e+08"
"2018-02-27 08:32:00","4.0045902818e+07","2.8184895558e+08"
"2018-02-27 08:33:00","3.8041187129e+07","2.8193356448e+08"
