"Title:","'Clear Water Pri S3 ge-1/0/2 - ae1 '"
"Vertical Label:","'bits per second'"
"Start Date:","2018-02-25 08:01:00"
"End Date:","2018-02-26 08:00:00"
"Step:","60"
"Total Rows:","1440"
"Graph ID:","3413"
"Host ID:","223"
""
"Date","In","Out"
"2018-02-25 08:01:00","4.5555487010e+06","4.7337761165e+07"
"2018-02-25 08:02:00","4.1413105742e+06","4.8411708782e+07"
"2018-02-25 08:03:00","4.4742963289e+06","4.8826198084e+07"
"2018-02-25 08:04:00","3.7574987378e+06","4.3976145404e+07"
"2018-02-25 08:05:00","4.0707988920e+06","4.0101010447e+07"
"2018-02-25 08:06:00","3.9003360464e+06","4.1869638712e+07"
"2018-02-25 08:07:00","3.7942302394e+06","3.8309752948e+07"
"2018-02-25 08:08:00","6.9587818356e+06","4.3288124218e+07"
"2018-02-25 08:09:00","6.9026746000e+06","3.0839477351e+07"
"2018-02-25 08:10:00","5.7506921200e+06","3.4122813062e+07"
"2018-02-25 08:11:00","6.3870831511e+06","3.0811174164e+07"
"2018-02-25 08:12:00","7.0445196178e+06","4.2771451884e+07"
"2018-02-25 08:13:00","6.8311155778e+06","3.6608628876e+07"
"2018-02-25 08:14:00","4.8807886356e+06","6.0137338618e+07"
"2018-02-25 08:15:00","4.1608034939e+06","6.0557241324e+07"
"2018-02-25 08:16:00","3.8422551092e+06","5.3914145885e+07"
"2018-02-25 08:17:00","4.2859502191e+06","6.0017386880e+07"
"2018-02-25 08:18:00","3.7976032311e+06","6.0746302120e+07"
"2018-02-25 08:19:00","4.0283774622e+06","6.4607344867e+07"
"2018-02-25 08:20:00","6.5037402993e+06","6.1863389080e+07"
"2018-02-25 08:21:00","6.3008654703e+06","6.0956074872e+07"
"2018-02-25 08:22:00","4.7380789060e+06","6.4255065781e+07"
"2018-02-25 08:23:00","4.6188562407e+06","6.1520665663e+07"
"2018-02-25 08:24:00","3.6557272489e+06","6.1314884562e+07"
"2018-02-25 08:25:00","3.4664255282e+06","5.6955353659e+07"
"2018-02-25 08:26:00","6.3095172933e+06","6.4357482467e+07"
"2018-02-25 08:27:00","5.4768979156e+06","5.8078642382e+07"
"2018-02-25 08:28:00","4.5043728933e+06","4.9627176796e+07"
"2018-02-25 08:29:00","4.3320059956e+06","5.2330808280e+07"
"2018-02-25 08:30:00","4.1889346978e+06","5.5772919636e+07"
"2018-02-25 08:31:00","4.2502209644e+06","6.0668571609e+07"
"2018-02-25 08:32:00","4.6737162064e+06","4.7468037586e+07"
"2018-02-25 08:33:00","3.8938837470e+06","4.4882516779e+07"
"2018-02-25 08:34:00","4.2270472066e+06","5.5778842732e+07"
"2018-02-25 08:35:00","3.7572440044e+06","4.5533562342e+07"
"2018-02-25 08:36:00","3.8258075689e+06","5.3685119836e+07"
"2018-02-25 08:37:00","4.1338093289e+06","5.6678334080e+07"
"2018-02-25 08:38:00","4.7881871867e+06","6.5263521840e+07"
"2018-02-25 08:39:00","4.0314436578e+06","6.2172322569e+07"
"2018-02-25 08:40:00","4.4328615244e+06","5.5020108133e+07"
"2018-02-25 08:41:00","4.2506921052e+06","6.0173443227e+07"
"2018-02-25 08:42:00","4.1322105689e+06","5.4760959798e+07"
"2018-02-25 08:43:00","3.8525635881e+06","5.1260931086e+07"
"2018-02-25 08:44:00","6.5859521556e+06","5.3597059853e+07"
"2018-02-25 08:45:00","7.4980858208e+06","6.4289923145e+07"
"2018-02-25 08:46:00","6.1965851525e+06","6.5074064519e+07"
"2018-02-25 08:47:00","3.7101909867e+06","6.8145381034e+07"
"2018-02-25 08:48:00","4.1093723822e+06","7.5913725471e+07"
"2018-02-25 08:49:00","4.5939401733e+06","6.9748274871e+07"
"2018-02-25 08:50:00","5.0323901644e+06","7.0881086258e+07"
"2018-02-25 08:51:00","4.7563266578e+06","6.5100158547e+07"
"2018-02-25 08:52:00","4.7868511911e+06","6.6365104044e+07"
"2018-02-25 08:53:00","4.5486514622e+06","5.8214555893e+07"
"2018-02-25 08:54:00","5.3016379178e+06","6.6166753994e+07"
"2018-02-25 08:55:00","5.0732046644e+06","6.9761274212e+07"
"2018-02-25 08:56:00","4.3426010444e+06","7.4373521715e+07"
"2018-02-25 08:57:00","4.7328494267e+06","7.7496811991e+07"
"2018-02-25 08:58:00","4.1681980133e+06","7.9324678040e+07"
"2018-02-25 08:59:00","4.1173368667e+06","7.5387747902e+07"
"2018-02-25 09:00:00","4.0778611709e+06","7.0549919040e+07"
"2018-02-25 09:01:00","4.2545728638e+06","5.6519130700e+07"
"2018-02-25 09:02:00","4.1633259653e+06","5.9286227385e+07"
"2018-02-25 09:03:00","3.8334944800e+06","5.7378329467e+07"
"2018-02-25 09:04:00","5.0220232578e+06","5.1172197258e+07"
"2018-02-25 09:05:00","5.8843395778e+06","6.3592184596e+07"
"2018-02-25 09:06:00","4.8657054448e+06","6.0077740256e+07"
"2018-02-25 09:07:00","4.8642357241e+06","6.0125469561e+07"
"2018-02-25 09:08:00","4.5863656133e+06","5.7789040480e+07"
"2018-02-25 09:09:00","4.6326742133e+06","6.4220209107e+07"
"2018-02-25 09:10:00","5.1768892444e+06","6.0467938324e+07"
"2018-02-25 09:11:00","5.7639016711e+06","6.3432268507e+07"
"2018-02-25 09:12:00","5.3581313067e+06","7.1720621613e+07"
"2018-02-25 09:13:00","5.0797821911e+06","6.8333971107e+07"
"2018-02-25 09:14:00","4.6722417200e+06","5.9115780649e+07"
"2018-02-25 09:15:00","4.9377714889e+06","6.6167987622e+07"
"2018-02-25 09:16:00","5.1227791600e+06","6.4534730556e+07"
"2018-02-25 09:17:00","4.4733306444e+06","6.2156297547e+07"
"2018-02-25 09:18:00","4.3615190800e+06","6.7576289151e+07"
"2018-02-25 09:19:00","4.4200435733e+06","6.2229733022e+07"
"2018-02-25 09:20:00","4.5214706933e+06","6.2771210160e+07"
"2018-02-25 09:21:00","4.2787462844e+06","5.8850728662e+07"
"2018-02-25 09:22:00","3.6900273022e+06","6.6488804231e+07"
"2018-02-25 09:23:00","3.9984311867e+06","6.0976645684e+07"
"2018-02-25 09:24:00","3.7465085556e+06","5.7851124093e+07"
"2018-02-25 09:25:00","4.4117473156e+06","5.9307527236e+07"
"2018-02-25 09:26:00","4.1764991422e+06","6.5918148604e+07"
"2018-02-25 09:27:00","4.5379598000e+06","7.0638019604e+07"
"2018-02-25 09:28:00","4.1502780667e+06","6.1693155102e+07"
"2018-02-25 09:29:00","6.0590620716e+06","7.8006736569e+07"
"2018-02-25 09:30:00","4.4126191182e+06","7.4181909050e+07"
"2018-02-25 09:31:00","4.2624564637e+06","6.5302720909e+07"
"2018-02-25 09:32:00","3.7159795888e+06","5.8849637957e+07"
"2018-02-25 09:33:00","3.6371364466e+06","6.6562768048e+07"
"2018-02-25 09:34:00","3.5738628933e+06","5.8869384662e+07"
"2018-02-25 09:35:00","4.4035465067e+06","6.2898996249e+07"
"2018-02-25 09:36:00","4.5434392844e+06","7.3389518987e+07"
"2018-02-25 09:37:00","4.2388363200e+06","6.3077175182e+07"
"2018-02-25 09:38:00","4.1653867911e+06","5.3074910044e+07"
"2018-02-25 09:39:00","4.1871458000e+06","5.3881593093e+07"
"2018-02-25 09:40:00","4.6567305378e+06","6.7270560236e+07"
"2018-02-25 09:41:00","5.4001595022e+06","6.6778368267e+07"
"2018-02-25 09:42:00","5.6749957822e+06","5.9692599960e+07"
"2018-02-25 09:43:00","4.9394734178e+06","5.2060875880e+07"
"2018-02-25 09:44:00","5.2002360420e+06","5.7100030448e+07"
"2018-02-25 09:45:00","4.9360218735e+06","5.5814351623e+07"
"2018-02-25 09:46:00","4.6658440219e+06","6.3162048457e+07"
"2018-02-25 09:47:00","4.3320002625e+06","5.6233901871e+07"
"2018-02-25 09:48:00","4.7486779289e+06","6.2784987524e+07"
"2018-02-25 09:49:00","4.6420335511e+06","6.7294102120e+07"
"2018-02-25 09:50:00","5.1363013911e+06","6.4086670133e+07"
"2018-02-25 09:51:00","4.8849452133e+06","6.4711248764e+07"
"2018-02-25 09:52:00","5.3659987644e+06","7.0482419013e+07"
"2018-02-25 09:53:00","4.5242277333e+06","7.4354651333e+07"
